,Awards,AwardsWon,AwardsNominated,PrimeAwardsWon,PrimeAwardsNominated,BaftaAwardsWon,BaftaAwardsNominated,OscarAwardsWon,OscarAwardsNominated,GoldenGlobeAwardsWon,GoldenGlobeAwardsNominated,TotalAwardsWon,TotalAwardsNominated
3,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,1,2
4,1 win.,1,0,0,0,0,0,0,0,0,0,1,0
5,1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
6,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0,3,2
7,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
