,Month,Manhattan,NYC,Percentage
0,Jan,3037,17175,0.17682678311499272
1,Feb,2895,14144,0.2046804298642534
2,Mar,3218,17170,0.18741991846243447
3,Apr,3281,17056,0.19236632270168855
4,May,3233,18813,0.1718492531759953
5,Jun,2717,17914,0.1516690856313498
6,Jul,2860,18589,0.15385443003927055
7,Aug,2607,17826,0.14624705486368225
8,Sep,2529,17946,0.14092276830491474
9,Oct,2633,18430,0.1428648941942485
10,Nov,2614,17856,0.14639336917562723
11,Dec,2476,18018,0.1374181374181374
