Punjab,131.8
Queensland,170.14285714285714
Quetta Gladiators,146.0
Ragama Cricket Club,150.625
Railways,140.92307692307693
Rajasthan,152.45454545454547
Rajasthan Royals,156.4102564102564
Rajshahi Division,131.0
Rangpur Riders,137.88888888888889
Rawalpindi Rams,163.66666666666666
Rising Pune Supergiants,124.5
Royal Challengers Bangalore,163.95744680851064
Ruhuna,150.625
Ruhuna Royals,145.0
Saracens Sports Club,142.5
Saurashtra,144.0
Scotland,140.6
Sebastianites Cricket and Athletic Club,139.0
Services,109.0
Sialkot Region,163.0
Sialkot Stallions,169.0
Sinhalese Sports Club,158.25
Somerset,180.33333333333334
South Africa,159.5185185185185
South Australia,163.375
South Western Districts,133.6
Southern Rocks,122.0
Sri Lanka,161.52941176470588
Sri Lanka A,140.375
Sri Lanka Air Force Sports Club,143.0
Sri Lanka Army,128.5
Sri Lanka Ports Authority Cricket Club,117.0
St Kitts and Nevis Patriots,178.2
St Lucia Zouks,146.83333333333334
St Vincent,96.0
Stanford Superstars,140.0
State Bank of Pakistan,129.33333333333334
Sui Northern Gas Pipelines Limited,66.0
Sunrisers Hyderabad,149.1764705882353
Surrey,155.7906976744186
Sussex,157.33333333333334
Sydney Sixers,157.54545454545453
Sydney Thunder,160.75
Sylhet Royals,126.0
Sylhet Super Stars,112.0
Tamil Nadu,172.0
Tamil Union Cricket and Athletic Club,155.625
Tasmania,161.28571428571428
Titans,155.475
Trinbago Knight Riders,170.0
Trinidad & Tobago,141.2
Trinidad & Tobago Red Steel,153.8181818181818
Udarata Rulers,159.0
Uganda,124.0
United Arab Emirates,139.08333333333334
Uthura Rudras,156.0
Uthura Yellows,158.0
Uttar Pradesh,151.14285714285714
Uva Next,101.0
Victoria,167.41666666666666
Warriors,145.0857142857143
Warwickshire,157.925
Wayamba,131.75
Wayamba United,156.0
Wellington,166.35294117647058
West Indies,135.42857142857142
West Indies A,122.6
Western Australia,169.875
Western Province,151.5
Western Troopers,165.0
Worcestershire,168.05882352941177
Yorkshire,158.0
Zimbabwe,161.0
Zimbabwe XI,160.0
